status,course,gender,marital_status,attendance,scholarship_holder,tuition_up_to_date,debtor,displaced,international,age_at_enrollment,age_group,admission_grade,prev_qualification_grade,units_1st_sem_enrolled,units_1st_sem_approved,grade_1st_sem,units_2nd_sem_enrolled,units_2nd_sem_approved,grade_2nd_sem,approval_ratio_2nd_sem,is_dropout,dropout_risk_score
Graduate,Social Service,Female,Single,Daytime,No,Yes,No,Yes,No,21,21-24,116.4,115.0,6,6,11.375,6,6,13.285714285714286,1.0,0,0.071
Enrolled,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,131.0,138.0,5,5,12.666666666666666,5,4,13.0,0.8,0,0.101
Graduate,Management,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,122.1,135.0,5,5,12.0,5,5,12.333333333333334,1.0,0,0.146
Enrolled,Nursing,Male,Single,Daytime,No,Yes,No,Yes,No,19,17-20,118.8,127.0,7,6,12.933333333333332,7,6,13.716666666666669,0.857,0,0.261
Enrolled,Agronomy,Male,Single,Daytime,No,Yes,No,No,No,21,21-24,150.0,150.0,6,5,11.857142857142858,6,5,10.571428571428571,0.833,0,0.298
Graduate,Communication Design,Male,Single,Daytime,No,Yes,No,Yes,No,20,17-20,130.0,125.0,6,6,12.833333333333334,6,4,13.4,0.667,0,0.356
Enrolled,Management,Male,Single,Daytime,No,No,No,No,No,18,17-20,138.8,143.0,5,3,11.333333333333334,5,2,13.5,0.4,0,0.979
Graduate,Social Service (evening),Female,Single,Evening,No,Yes,No,Yes,No,19,17-20,134.5,138.0,6,6,12.666666666666666,6,6,14.375,1.0,0,0.047
Graduate,Management (evening),Male,Single,Evening,No,Yes,No,No,No,34,30-39,131.4,130.0,5,5,12.4,5,5,13.428571428571429,1.0,0,0.147
Dropout,Biofuel Production Tech,Male,Single,Daytime,No,No,Yes,No,No,37,30-39,102.5,130.0,7,0,0.0,7,1,10.0,0.143,1,1.0
Dropout,Informatics Engineering,Male,Single,Daytime,No,Yes,No,Yes,No,43,40+,128.8,133.1,5,0,0.0,5,0,0.0,0.0,1,0.998
Dropout,Management,Female,Single,Daytime,No,Yes,No,No,No,55,40+,122.9,140.0,5,1,10.0,5,2,12.0,0.4,1,0.972
Graduate,Management (evening),Female,Divorced,Evening,No,Yes,No,Yes,No,39,30-39,113.9,120.0,5,5,11.0,5,5,11.6,1.0,0,0.1
Dropout,Equinculture,Female,Single,Daytime,No,No,Yes,No,Yes,20,17-20,120.0,120.0,6,3,11.666666666666666,6,3,12.0,0.5,1,0.931
Dropout,Journalism & Communication,Female,Single,Daytime,No,Yes,Yes,No,No,18,17-20,121.1,126.0,6,4,12.75,5,0,0.0,0.0,1,0.996
Graduate,Management,Female,Single,Daytime,No,Yes,No,Yes,No,22,21-24,120.4,133.0,5,5,14.8,5,5,15.8,1.0,0,0.074
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,22,21-24,100.6,103.0,7,5,13.928,8,7,14.342857142857142,0.875,0,0.33
Dropout,Journalism & Communication,Female,Single,Daytime,No,No,No,No,No,20,17-20,121.4,120.0,6,4,13.0,6,5,13.8,0.833,1,0.778
Dropout,Management (evening),Female,Single,Evening,No,Yes,No,No,No,29,25-29,109.7,133.1,5,0,0.0,5,0,0.0,0.0,1,0.998
Enrolled,Management (evening),Female,Single,Evening,No,Yes,No,No,No,24,21-24,134.1,154.0,5,2,11.5,5,3,14.333333333333334,0.6,0,0.639
Graduate,Social Service,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,127.6,130.0,6,6,11.666666666666666,6,5,13.2,0.833,0,0.12
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,22,21-24,132.4,132.0,7,6,13.516666666666666,8,7,13.771428571428572,0.875,0,0.076
Graduate,Social Service (evening),Female,Single,Evening,Yes,Yes,No,No,No,21,21-24,133.4,130.0,6,6,11.5,6,6,13.285714285714286,1.0,0,0.018
Graduate,Social Service,Female,Single,Daytime,Yes,Yes,No,No,No,19,17-20,126.1,139.0,6,5,12.333333333333334,6,6,12.833333333333334,1.0,0,0.028
Graduate,Tourism,Female,Single,Daytime,Yes,Yes,No,No,No,24,21-24,113.5,130.0,6,6,13.666666666666666,6,6,14.166666666666666,1.0,0,0.023
Enrolled,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,121.3,139.0,8,6,11.833333333333334,8,6,11.833333333333334,0.75,0,0.126
Enrolled,Journalism & Communication,Female,Single,Daytime,Yes,Yes,No,Yes,No,20,17-20,121.8,127.0,6,4,14.0,6,3,11.0,0.5,0,0.644
Graduate,Equinculture,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,159.3,167.0,5,5,14.714285714285714,5,5,15.8,1.0,0,0.022
Dropout,Management (evening),Female,Single,Evening,No,Yes,No,No,No,27,25-29,120.0,130.0,5,5,10.6,5,5,11.0,1.0,1,0.113
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,129.1,130.0,7,7,13.044444444444444,8,8,13.595,1.0,0,0.023
Dropout,Tourism,Female,Married,Daytime,No,Yes,No,No,No,39,30-39,130.0,130.0,6,0,0.0,6,0,0.0,0.0,1,0.999
Dropout,Equinculture,Female,Single,Daytime,No,Yes,No,Yes,No,27,25-29,155.3,129.0,6,5,13.0,11,10,12.9,0.909,1,0.101
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,139.8,141.0,8,8,14.935,8,8,14.935,1.0,0,0.012
Enrolled,Animation & Multimedia Design,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,115.2,125.0,0,0,0.0,0,0,0.0,,0,0.383
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,114.9,125.0,7,6,13.133333333333333,8,7,12.221428571428572,0.875,0,0.113
Graduate,Social Service,Female,Single,Daytime,Yes,Yes,No,No,No,21,21-24,131.9,130.0,6,6,12.0,6,6,12.0,1.0,0,0.041
Enrolled,Animation & Multimedia Design,Male,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,126.0,133.0,0,0,0.0,0,0,0.0,,0,0.362
Enrolled,Communication Design,Male,Single,Daytime,No,Yes,No,Yes,No,19,17-20,130.2,127.0,6,5,11.4,6,1,10.0,0.167,0,0.946
Enrolled,Communication Design,Male,Single,Daytime,No,Yes,No,No,No,24,21-24,120.9,116.0,6,0,0.0,6,0,0.0,0.0,0,0.999
Dropout,Nursing,Male,Divorced,Daytime,No,Yes,No,Yes,No,29,25-29,126.0,133.1,7,5,11.9,8,5,11.0,0.625,1,0.781
Graduate,Animation & Multimedia Design,Male,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,128.2,139.0,0,0,0.0,0,0,0.0,,0,0.391
Graduate,Agronomy,Male,Single,Daytime,No,Yes,No,Yes,No,23,21-24,130.0,130.0,6,6,12.571428571428571,6,6,12.428571428571429,1.0,0,0.044
Dropout,Management,Male,Single,Daytime,No,Yes,Yes,No,No,19,17-20,120.1,125.0,5,5,11.2,5,4,10.75,0.8,1,0.396
Enrolled,Tourism,Male,Single,Daytime,No,Yes,No,No,No,26,25-29,100.0,160.0,6,6,12.0,6,5,10.8,0.833,0,0.211
Enrolled,Management,Male,Single,Daytime,No,Yes,No,No,No,18,17-20,134.0,148.0,5,0,0.0,5,0,0.0,0.0,0,0.996
Graduate,Nursing,Male,Single,Daytime,No,Yes,No,No,No,24,21-24,130.8,150.0,7,7,11.975,8,8,13.75,1.0,0,0.036
Dropout,Animation & Multimedia Design,Male,Single,Daytime,No,Yes,No,Yes,No,19,17-20,135.8,141.0,0,0,0.0,0,0,0.0,,1,0.569
Dropout,Tourism,Male,Single,Daytime,No,Yes,No,Yes,No,18,17-20,111.7,118.0,6,3,11.666666666666666,6,1,12.0,0.167,1,0.986
Graduate,Journalism & Communication,Male,Single,Daytime,No,Yes,No,Yes,No,18,17-20,132.9,142.0,6,6,12.333333333333334,6,3,12.333333333333334,0.5,0,0.575
Dropout,Management,Male,Single,Daytime,No,Yes,Yes,Yes,No,18,17-20,115.5,120.0,5,3,10.333333333333334,5,3,10.857142857142858,0.6,1,0.939
Dropout,Tourism,Male,Single,Daytime,Yes,Yes,No,Yes,No,21,21-24,106.0,106.0,6,4,10.5,6,1,11.0,0.167,1,0.921
Graduate,Journalism & Communication,Male,Single,Daytime,Yes,Yes,Yes,Yes,No,19,17-20,120.3,121.0,6,6,13.666666666666666,6,6,13.333333333333334,1.0,0,0.131
Graduate,Nursing,Male,Single,Daytime,Yes,Yes,No,No,No,22,21-24,130.8,150.0,7,7,14.842857142857142,8,8,15.055555555555555,1.0,0,0.018
Graduate,Social Service (evening),Male,Married,Evening,No,Yes,No,No,No,33,30-39,117.0,120.0,6,6,12.0,6,6,11.666666666666666,1.0,0,0.066
Dropout,Basic Education,Male,Single,Daytime,No,Yes,No,Yes,No,20,17-20,110.2,114.0,6,5,12.2,6,5,12.2,0.833,1,0.363
Dropout,Management (evening),Male,Single,Evening,No,Yes,No,Yes,No,35,30-39,155.7,140.0,1,0,0.0,5,0,0.0,0.0,1,0.996
Dropout,Agronomy,Male,Single,Daytime,No,Yes,Yes,No,No,24,21-24,180.4,160.0,12,6,12.166666666666666,12,10,13.3,0.833,1,0.938
Enrolled,Tourism,Male,Single,Daytime,No,Yes,No,No,No,18,17-20,125.5,120.0,5,5,12.0,5,3,11.333333333333334,0.6,0,0.42
Graduate,Social Service (evening),Female,Married,Evening,No,Yes,No,Yes,No,33,30-39,110.0,130.0,6,6,11.0,6,5,11.0,0.833,0,0.134
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,22,21-24,161.0,160.0,8,7,13.08,8,7,13.08,0.875,0,0.041
Graduate,Advertising & Marketing,Female,Single,Daytime,Yes,Yes,No,No,No,25,25-29,100.0,120.0,5,4,10.5,5,5,11.6,1.0,0,0.08
Graduate,Communication Design,Male,Single,Daytime,No,Yes,No,Yes,No,20,17-20,117.6,124.0,6,6,10.666666666666666,6,5,11.2,0.833,0,0.104
Enrolled,Management,Male,Single,Daytime,No,Yes,No,Yes,No,23,21-24,128.7,143.0,5,4,14.0,5,5,13.8,1.0,0,0.266
Enrolled,Informatics Engineering,Male,Single,Daytime,No,Yes,Yes,Yes,No,18,17-20,112.2,115.0,5,2,10.0,5,0,0.0,0.0,0,0.999
Dropout,Nursing,Male,Single,Daytime,No,Yes,No,No,No,24,21-24,100.8,133.1,7,0,0.0,7,0,0.0,0.0,1,1.0
Graduate,Journalism & Communication,Female,Single,Daytime,No,No,No,Yes,Yes,21,21-24,105.0,133.1,6,6,14.0,6,6,13.5,1.0,0,0.246
Dropout,Equinculture,Female,Single,Daytime,No,Yes,No,No,Yes,26,25-29,100.0,133.1,6,2,12.0,6,0,0.0,0.0,1,0.993
Dropout,Basic Education,Female,Married,Daytime,No,Yes,No,No,No,39,30-39,115.5,133.1,6,3,12.666666666666666,6,0,0.0,0.0,1,0.997
Graduate,Social Service (evening),Female,Married,Evening,No,Yes,No,No,No,44,40+,114.0,133.1,8,8,11.875,6,6,12.333333333333334,1.0,0,0.052
Enrolled,Informatics Engineering,Male,Single,Daytime,No,Yes,No,Yes,Yes,19,17-20,137.0,130.0,5,5,14.0,5,3,13.25,0.6,0,0.222
Graduate,Journalism & Communication,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,124.9,135.0,6,6,13.666666666666666,6,6,13.333333333333334,1.0,0,0.077
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,120.3,132.0,7,7,13.75,8,8,14.47777777777778,1.0,0,0.013
Enrolled,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,134.3,135.0,5,5,14.2,5,5,13.8,1.0,0,0.052
Dropout,Nursing,Female,Single,Daytime,No,No,Yes,Yes,No,19,17-20,111.5,115.0,7,4,11.96,7,0,0.0,0.0,1,1.0
Dropout,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,No,No,21,21-24,128.8,130.0,10,8,12.875,9,5,13.4,0.556,1,0.665
Graduate,Animation & Multimedia Design,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,110.0,133.1,0,0,0.0,0,0,0.0,,0,0.59
Dropout,Social Service (evening),Female,Married,Evening,No,Yes,No,Yes,No,36,30-39,113.5,130.0,6,0,0.0,6,0,0.0,0.0,1,0.998
Graduate,Agronomy,Female,Divorced,Daytime,No,Yes,No,No,No,43,40+,160.0,133.1,18,18,14.63157894736842,13,13,14.23076923076923,1.0,0,0.005
Dropout,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,117.4,123.0,6,0,0.0,6,0,0.0,0.0,1,0.999
Graduate,Communication Design,Female,Single,Daytime,No,Yes,Yes,No,No,20,17-20,122.2,130.0,10,10,13.0,11,11,12.272727272727272,1.0,0,0.07
Dropout,Social Service,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,118.2,122.0,6,0,0.0,6,0,0.0,0.0,1,0.999
Dropout,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,106.7,113.0,6,4,14.2,6,4,13.25,0.667,1,0.687
Dropout,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,108.2,111.0,7,6,13.266666666666666,7,5,12.3,0.714,1,0.486
Enrolled,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,107.0,133.1,7,6,11.666666666666666,7,3,13.0,0.429,0,0.804
Graduate,Social Service,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,136.1,142.0,6,6,13.857142857142858,6,6,15.0,1.0,0,0.05
Enrolled,Management,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,115.3,123.0,5,3,13.0,5,3,11.0,0.6,0,0.561
Graduate,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,139.8,131.0,5,5,13.4,5,5,12.8,1.0,0,0.088
Graduate,Journalism & Communication,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,157.0,158.0,6,6,12.666666666666666,6,6,12.571428571428571,1.0,0,0.048
Dropout,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,131.0,122.0,7,6,12.516666666666666,7,6,12.516666666666666,0.857,1,0.057
Enrolled,Nursing,Female,Single,Daytime,No,Yes,No,No,No,20,17-20,100.0,130.0,7,6,11.616666666666667,7,7,13.0,1.0,0,0.062
Enrolled,Social Service,Female,Single,Daytime,Yes,Yes,No,Yes,No,20,17-20,140.4,154.0,6,2,10.0,6,4,10.75,0.667,0,0.64
Enrolled,Management,Female,Single,Daytime,No,Yes,No,No,No,20,17-20,113.4,120.0,5,3,10.333333333333334,5,3,10.666666666666666,0.6,0,0.716
Graduate,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,137.0,140.0,5,5,13.142857142857142,5,5,11.4,1.0,0,0.038
Graduate,Management,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,121.8,127.0,5,5,12.6,5,5,14.0,1.0,0,0.051
Dropout,Tourism,Female,Single,Daytime,No,Yes,No,Yes,No,21,21-24,131.0,133.1,6,3,11.0,6,2,11.0,0.333,1,0.942
Graduate,Management,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,118.6,120.0,5,5,10.8,5,4,11.25,0.8,0,0.206
Dropout,Animation & Multimedia Design,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,122.3,137.0,0,0,0.0,0,0,0.0,,1,0.354
Graduate,Advertising & Marketing,Female,Single,Daytime,Yes,Yes,No,No,No,19,17-20,127.9,131.0,5,5,12.8,5,5,14.2,1.0,0,0.021
Graduate,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,121.3,130.0,6,6,14.166666666666666,6,6,12.2,1.0,0,0.084
Dropout,Oral Hygiene,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,117.1,122.0,7,5,12.1,7,0,0.0,0.0,1,0.998
Graduate,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,160.0,160.0,6,6,14.166666666666666,6,5,13.77777777777778,0.833,0,0.125
Enrolled,Basic Education,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,145.3,146.0,6,5,12.8,6,5,13.4,0.833,0,0.072
Graduate,Social Service,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,122.6,131.0,6,6,13.0,6,6,13.666666666666666,1.0,0,0.051
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,128.0,132.0,7,7,13.467142857142855,8,8,15.011111111111113,1.0,0,0.023
Dropout,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,124.9,138.0,7,7,13.2375,8,7,13.742857142857144,0.875,1,0.036
Graduate,Communication Design,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,123.7,130.0,6,6,12.333333333333334,6,6,13.0,1.0,0,0.037
Graduate,Management,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,120.1,126.0,5,5,12.4,5,5,14.6,1.0,0,0.073
Dropout,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,131.7,148.0,7,5,14.0,7,0,0.0,0.0,1,0.998
Graduate,Social Service,Female,Single,Daytime,No,Yes,No,No,No,20,17-20,133.2,130.0,9,9,11.666666666666666,7,7,11.714285714285714,1.0,0,0.041
Dropout,Advertising & Marketing,Female,Single,Daytime,Yes,No,Yes,No,No,19,17-20,109.3,117.0,6,5,12.0,6,4,12.5,0.667,1,0.884
Graduate,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,113.0,120.0,5,4,12.2,5,4,11.5,0.8,0,0.328
Graduate,Journalism & Communication,Female,Single,Daytime,Yes,Yes,Yes,No,No,18,17-20,157.9,153.0,6,6,14.833333333333334,6,6,14.833333333333334,1.0,0,0.025
Enrolled,Nursing,Female,Single,Daytime,Yes,Yes,No,No,No,20,17-20,112.1,117.0,7,5,13.188,8,7,12.892857142857142,0.875,0,0.089
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,174.7,178.0,7,7,17.125,8,8,17.5875,1.0,0,0.018
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,128.8,129.0,7,6,12.666666666666666,7,6,12.666666666666666,0.857,0,0.098
Graduate,Journalism & Communication,Female,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,110.1,116.0,6,6,12.666666666666666,6,5,12.0,0.833,0,0.131
Enrolled,Management,Female,Single,Daytime,No,No,Yes,Yes,No,22,21-24,99.7,99.0,5,0,0.0,5,0,0.0,0.0,0,1.0
Graduate,Social Service,Female,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,121.0,135.0,6,6,11.333333333333334,6,6,11.5,1.0,0,0.034
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,131.7,141.0,7,7,13.605,8,8,12.33125,1.0,0,0.017
Graduate,Basic Education,Female,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,119.1,132.0,6,5,12.0,6,5,10.8,0.833,0,0.159
Dropout,Tourism,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,124.7,132.0,5,0,0.0,5,0,0.0,0.0,1,0.997
Dropout,Tourism,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,117.2,113.0,6,5,11.2,6,3,11.666666666666666,0.5,1,0.522
Graduate,Management,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,128.8,134.0,5,5,13.375,5,5,14.166666666666666,1.0,0,0.079
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,No,No,20,17-20,131.5,136.0,7,6,13.863333333333337,8,7,14.178571428571429,0.875,0,0.031
Enrolled,Animation & Multimedia Design,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,121.7,136.0,0,0,0.0,0,0,0.0,,0,0.349
Graduate,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,123.4,129.0,5,5,12.4,5,5,13.4,1.0,0,0.035
Enrolled,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,124.7,138.0,6,3,12.333333333333334,6,5,10.833333333333334,0.833,0,0.54
Graduate,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,132.8,137.0,6,6,13.333333333333334,6,5,11.8,0.833,0,0.107
Dropout,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,21,21-24,108.7,115.0,6,3,12.666666666666666,6,3,10.0,0.5,1,0.899
Dropout,Basic Education,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,138.1,129.0,6,6,12.0,6,4,11.5,0.667,1,0.165
Graduate,Management,Female,Single,Daytime,Yes,Yes,No,No,No,18,17-20,126.5,131.0,5,5,10.6,5,5,11.8,1.0,0,0.031
Graduate,Social Service,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,127.4,133.0,6,6,12.25,6,6,11.857142857142858,1.0,0,0.025
Graduate,Social Service,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,123.6,125.0,6,4,11.0,6,6,11.833333333333334,1.0,0,0.187
Graduate,Social Service (evening),Female,Single,Evening,Yes,Yes,No,No,No,24,21-24,122.0,120.0,6,5,11.0,6,5,12.6,0.833,0,0.083
Dropout,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,118.2,128.0,6,6,13.166666666666666,6,6,13.0,1.0,1,0.05
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,123.9,127.0,7,7,12.855555555555554,8,7,12.761111111111113,0.875,0,0.028
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,125.8,134.0,7,7,14.91875,8,8,15.355,1.0,0,0.022
Dropout,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,21,21-24,123.3,132.0,6,4,11.5,6,3,11.0,0.5,1,0.858
Graduate,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,124.4,124.0,5,5,14.2,5,5,14.2,1.0,0,0.049
Graduate,Journalism & Communication,Female,Single,Daytime,Yes,Yes,No,No,No,19,17-20,126.0,133.1,6,6,12.5,6,6,13.0,1.0,0,0.019
Enrolled,Agronomy,Female,Widower,Daytime,No,Yes,Yes,No,No,47,40+,170.0,170.0,1,0,0.0,6,0,0.0,0.0,0,0.998
Graduate,Social Service,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,121.5,125.0,6,5,11.666666666666666,6,4,11.0,0.667,0,0.465
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,No,No,29,25-29,130.0,130.0,8,7,14.257142857142856,8,7,14.257142857142856,0.875,0,0.1
Dropout,Social Service,Female,Single,Daytime,No,Yes,No,Yes,No,21,21-24,117.0,125.0,6,3,12.0,6,2,11.333333333333334,0.333,1,0.971
Enrolled,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,28,25-29,130.0,130.0,5,4,11.25,5,4,10.5,0.8,0,0.471
Graduate,Oral Hygiene,Female,Single,Daytime,No,Yes,No,No,No,20,17-20,108.0,133.1,7,7,12.457142857142856,8,8,13.5625,1.0,0,0.02
